#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000189875.1	PRJNA224116	SAMN02436682	AELO00000000.1	na	911120	2173	Methanobrevibacter smithii TS146C	strain=TS146C		latest	Contig	Major	Full	2011/02/17	ASM18987v2	Washington University in St.Louis	GCA_000189875.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/875/GCF_000189875.1_ASM18987v2		
GCF_000189895.1	PRJNA224116	SAMN02436666	AELP00000000.1	na	911121	2173	Methanobrevibacter smithii TS146D	strain=TS146D		latest	Contig	Major	Full	2011/02/17	ASM18989v2	Washington University in St.Louis	GCA_000189895.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/895/GCF_000189895.1_ASM18989v2		
GCF_000189915.1	PRJNA224116	SAMN02436683	AELQ00000000.1	na	911122	2173	Methanobrevibacter smithii TS146E	strain=TS146E		latest	Contig	Major	Full	2011/02/17	ASM18991v2	Washington University in St.Louis	GCA_000189915.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/915/GCF_000189915.1_ASM18991v2		
GCF_000189935.1	PRJNA224116	SAMN02436667	AELR00000000.1	na	911123	2173	Methanobrevibacter smithii TS147A	strain=TS147A		latest	Contig	Major	Full	2011/02/17	ASM18993v2	Washington University in St.Louis	GCA_000189935.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/935/GCF_000189935.1_ASM18993v2		
GCF_000189955.1	PRJNA224116	SAMN02436668	AELS00000000.1	na	911124	2173	Methanobrevibacter smithii TS147B	strain=TS147B		latest	Contig	Major	Full	2011/02/17	ASM18995v2	Washington University in St.Louis	GCA_000189955.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/955/GCF_000189955.1_ASM18995v2		
GCF_000189975.1	PRJNA224116	SAMN02436673	AELT00000000.1	na	911125	2173	Methanobrevibacter smithii TS147C	strain=TS147C		latest	Contig	Major	Full	2011/02/17	ASM18997v2	Washington University in St.Louis	GCA_000189975.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/975/GCF_000189975.1_ASM18997v2		
GCF_000189995.1	PRJNA224116	SAMN02436680	AELU00000000.1	na	911126	2173	Methanobrevibacter smithii TS94A	strain=TS94A		latest	Contig	Major	Full	2011/02/17	ASM18999v2	Washington University in St.Louis	GCA_000189995.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/995/GCF_000189995.1_ASM18999v2		
GCF_000190015.1	PRJNA224116	SAMN02436674	AELV00000000.1	na	911127	2173	Methanobrevibacter smithii TS94B	strain=TS94B		latest	Contig	Major	Full	2011/02/17	ASM19001v2	Washington University in St.Louis	GCA_000190015.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/015/GCF_000190015.1_ASM19001v2		
GCF_000190035.1	PRJNA224116	SAMN02436675	AELW00000000.1	na	911128	2173	Methanobrevibacter smithii TS94C	strain=TS94C		latest	Contig	Major	Full	2011/02/17	ASM19003v2	Washington University in St.Louis	GCA_000190035.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/035/GCF_000190035.1_ASM19003v2		
GCF_000190055.1	PRJNA224116	SAMN02436676	AELX00000000.1	na	911129	2173	Methanobrevibacter smithii TS95A	strain=TS95A		latest	Contig	Major	Full	2011/02/17	ASM19005v2	Washington University in St.Louis	GCA_000190055.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/055/GCF_000190055.1_ASM19005v2		
GCF_000190075.1	PRJNA224116	SAMN02436677	AELY00000000.1	na	911130	2173	Methanobrevibacter smithii TS95B	strain=TS95B		latest	Contig	Major	Full	2011/02/17	ASM19007v2	Washington University in St.Louis	GCA_000190075.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/075/GCF_000190075.1_ASM19007v2		
GCF_000190095.1	PRJNA224116	SAMN02436669	AELZ00000000.1	na	911131	2173	Methanobrevibacter smithii TS95C	strain=TS95C		latest	Contig	Major	Full	2011/02/17	ASM19009v2	Washington University in St.Louis	GCA_000190095.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/095/GCF_000190095.1_ASM19009v2		
GCF_000190115.1	PRJNA224116	SAMN02436670	AEMA00000000.1	na	911132	2173	Methanobrevibacter smithii TS95D	strain=TS95D		latest	Contig	Major	Full	2011/02/17	ASM19011v2	Washington University in St.Louis	GCA_000190115.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/115/GCF_000190115.1_ASM19011v2		
GCF_000190135.1	PRJNA224116	SAMN02436671	AEMB00000000.1	na	911133	2173	Methanobrevibacter smithii TS96A	strain=TS96A		latest	Contig	Major	Full	2011/02/17	ASM19013v2	Washington University in St.Louis	GCA_000190135.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/135/GCF_000190135.1_ASM19013v2		
GCF_000190155.1	PRJNA224116	SAMN02436681	AEMC00000000.1	na	911134	2173	Methanobrevibacter smithii TS96B	strain=TS96B		latest	Contig	Major	Full	2011/02/17	ASM19015v2	Washington University in St.Louis	GCA_000190155.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/155/GCF_000190155.1_ASM19015v2		
GCF_000190175.1	PRJNA224116	SAMN02436672	AEMD00000000.1	na	911135	2173	Methanobrevibacter smithii TS96C	strain=TS96C		latest	Contig	Major	Full	2011/02/17	ASM19017v2	Washington University in St.Louis	GCA_000190175.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/175/GCF_000190175.1_ASM19017v2		
GCF_000824705.1	PRJNA224116	SAMEA2796325	CCXV00000000.1	na	2173	2173	Methanobrevibacter smithii	strain=ACE6		latest	Contig	Major	Full	2014/10/02	Methanobrevibacter smithii	URMITE	GCA_000824705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/824/705/GCF_000824705.1_Methanobrevibacter_smithii		
GCF_000025865.1	PRJNA224116	SAMN02598474		representative genome	547558	2176	Methanohalophilus mahii DSM 5219	strain=DSM 5219		latest	Complete Genome	Major	Full	2010/03/31	ASM2586v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000025865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/865/GCF_000025865.1_ASM2586v1		assembly from type material
GCF_001889405.1	PRJNA224116	SAMN05756399		na	2177	2177	Methanohalophilus halophilus	strain=Z-7982		latest	Complete Genome	Major	Full	2016/12/06	ASM188940v1	UBO	GCA_001889405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/405/GCF_001889405.1_ASM188940v1		assembly from type material
GCF_000166095.1	PRJNA224116	SAMN02232040		representative genome	523846	2180	Methanothermus fervidus DSM 2088	strain=DSM 2088		latest	Complete Genome	Major	Full	2010/11/05	ASM16609v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000166095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/095/GCF_000166095.1_ASM16609v1		assembly from type material
GCF_000376965.1	PRJNA224116	SAMN02440415	AQXV00000000.1	representative genome	523845	2186	Methanothermococcus thermolithotrophicus DSM 2095	strain=DSM 2095		latest	Contig	Major	Full	2013/04/22	ASM37696v1	DOE Joint Genome Institute	GCA_000376965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/376/965/GCF_000376965.1_ASM37696v1		assembly from type material
GCF_000017165.1	PRJNA224116	SAMN02598403		representative genome	406327	2187	Methanococcus vannielii SB	strain=SB		latest	Complete Genome	Major	Full	2007/06/29	ASM1716v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000017165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/165/GCF_000017165.1_ASM1716v1		assembly from type material
GCF_000006175.1	PRJNA224116	SAMN00000040		representative genome	456320	2188	Methanococcus voltae A3	strain=A3		latest	Complete Genome	Major	Full	2010/06/03	ASM617v2	US DOE Joint Genome Institute (JGI-PGF)	GCA_000006175.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/175/GCF_000006175.1_ASM617v2		
GCF_000214415.1	PRJNA224116	SAMN00713627		representative genome	880724	2189	Methanotorris igneus Kol 5	strain=Kol 5		latest	Complete Genome	Major	Full	2011/05/23	ASM21441v1	US DOE Joint Genome Institute	GCA_000214415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/415/GCF_000214415.1_ASM21441v1		assembly from type material
GCF_000091665.1	PRJNA224116	SAMN02603984		representative genome	243232	2190	Methanocaldococcus jannaschii DSM 2661	strain=DSM 2661		latest	Complete Genome	Major	Full	1999/12/22	ASM9166v1	TIGR	GCA_000091665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/665/GCF_000091665.1_ASM9166v1		assembly from type material
GCF_001315945.1	PRJNA224116	SAMD00000408	BBBG00000000.1	na	1293041	2197	Methanogenium cariaci JCM 10550	strain=JCM 10550		latest	Contig	Major	Full	2015/10/01	ASM131594v1	The University of Tokyo	GCA_001315945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/315/945/GCF_001315945.1_ASM131594v1		assembly from type material
GCF_000015825.1	PRJNA224116	SAMN02598365		representative genome	368407	2198	Methanoculleus marisnigri JR1	strain=JR1		latest	Complete Genome	Major	Full	2007/02/16	ASM1582v1	DOE Joint Genome Institute	GCA_000015825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/825/GCF_000015825.1_ASM1582v1		assembly from type material
GCF_001571405.1	PRJNA224116	SAMD00044722	BCNX00000000.1	na	2200	2200	Methanoculleus thermophilus	strain=CR-1		latest	Contig	Major	Full	2016/01/19	ASM157140v1	Bioproduction Research Institute, National Institute of Advanced Industrial Science and Technology (AIST)	GCA_001571405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/571/405/GCF_001571405.1_ASM157140v1		assembly from type material
GCF_000275865.1	PRJNA224116	SAMN02256542	AGCO00000000.1	representative genome	28892	2201	Methanofollis liminatans DSM 4140	strain=DSM 4140		latest	Chromosome	Major	Full	2012/07/13	ASM27586v1	DOE Joint Genome Institute	GCA_000275865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/275/865/GCF_000275865.1_ASM27586v1		assembly from type material
GCF_000013445.1	PRJNA224116	SAMN02598287		representative genome	323259	2203	Methanospirillum hungatei JF-1	strain=JF-1		latest	Complete Genome	Major	Full	2006/02/17	ASM1344v1	DOE Joint Genome Institute	GCA_000013445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/445/GCF_000013445.1_ASM1344v1		assembly from type material
GCF_000711215.1	PRJNA224116	SAMN02745537	JOMF00000000.1	representative genome	694440	2205	Methanomicrobium mobile BP	strain=BP		latest	Contig	Major	Full	2014/06/24	ASM71121v1	DOE Joint Genome Institute	GCA_000711215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/711/215/GCF_000711215.1_ASM71121v1		assembly from type material
GCF_000195895.1	PRJNA224116	SAMN02598252		na	269797	2208	Methanosarcina barkeri str. Fusaro	strain=Fusaro		latest	Complete Genome	Major	Full	2005/08/12	ASM19589v1	DOE Joint Genome Institute	GCA_000195895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/895/GCF_000195895.1_ASM19589v1		
GCF_000969985.1	PRJNA224116	SAMN03074576		na	1434109	2208	Methanosarcina barkeri str. Wiesmoor	strain=Wiesmoor		latest	Complete Genome	Major	Full	2015/04/07	ASM96998v1	University of Illinois at Urbana-Champaign	GCA_000969985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/985/GCF_000969985.1_ASM96998v1		
GCF_000970025.1	PRJNA224116	SAMN03074575		representative genome	1434108	2208	Methanosarcina barkeri MS	strain=MS		latest	Complete Genome	Major	Full	2015/04/07	ASM97002v1	University of Illinois at Urbana-Champaign	GCA_000970025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/025/GCF_000970025.1_ASM97002v1		assembly from type material
GCF_000970065.1	PRJNA224116	SAMN03074573		na	1434106	2208	Methanosarcina barkeri 227	strain=227		latest	Complete Genome	Major	Full	2015/04/07	ASM97006v1	University of Illinois at Urbana-Champaign	GCA_000970065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/065/GCF_000970065.1_ASM97006v1		
GCF_000970305.1	PRJNA224116	SAMN03074574		representative genome	1434107	2208	Methanosarcina barkeri 3	strain=3		latest	Complete Genome	Major	Full	2015/04/07	ASM97030v1	University of Illinois at Urbana-Champaign	GCA_000970305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/305/GCF_000970305.1_ASM97030v1		
GCF_001027005.1	PRJNA224116	SAMN02866457		na	796385	2208	Methanosarcina barkeri CM1	strain=CM1		latest	Complete Genome	Major	Full	2015/06/03	ASM102700v1	PGgRc	GCA_001027005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/005/GCF_001027005.1_ASM102700v1		
GCF_000007065.1	PRJNA224116	SAMN02603290		na	192952	2209	Methanosarcina mazei Go1	strain=Go1		latest	Complete Genome	Major	Full	2002/05/20	ASM706v1	Gottingen Genomics Laboratory	GCA_000007065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/065/GCF_000007065.1_ASM706v1		
GCF_000970165.1	PRJNA224116	SAMN03074586		na	1434117	2209	Methanosarcina mazei WWM610	strain=WWM610		latest	Complete Genome	Major	Full	2015/04/07	ASM97016v1	University of Illinois at Urbana-Champaign	GCA_000970165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/165/GCF_000970165.1_ASM97016v1		
GCF_000970185.1	PRJNA224116	SAMN03074584		na	1434115	2209	Methanosarcina mazei SarPi	strain=SarPi		latest	Complete Genome	Major	Full	2015/04/07	ASM97018v1	University of Illinois at Urbana-Champaign	GCA_000970185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/185/GCF_000970185.1_ASM97018v1		
GCF_000970205.1	PRJNA224116	SAMN03074583		representative genome	213585	2209	Methanosarcina mazei S-6	strain=S-6		latest	Complete Genome	Major	Full	2015/04/07	ASM97020v1	University of Illinois at Urbana-Champaign	GCA_000970205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/205/GCF_000970205.1_ASM97020v1		assembly from type material
GCF_000970225.1	PRJNA224116	SAMN03074582		na	1434114	2209	Methanosarcina mazei LYC	strain=LYC		latest	Complete Genome	Major	Full	2015/04/07	ASM97022v1	University of Illinois at Urbana-Champaign	GCA_000970225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/225/GCF_000970225.1_ASM97022v1		
GCF_000970245.1	PRJNA224116	SAMN03074581		na	1434113	2209	Methanosarcina mazei C16	strain=C16		latest	Complete Genome	Major	Full	2015/04/07	ASM97024v1	University of Illinois at Urbana-Champaign	GCA_000970245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/245/GCF_000970245.1_ASM97024v1		assembly from type material
GCF_000978935.1	PRJNA224116	SAMN02708945	JJPF00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.2.5		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000978935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/978/935/GCF_000978935.1_gtlEnvA5udCFS		
GCF_000978945.1	PRJNA224116	SAMN02708944	JJPB00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.A.1A.3		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000978945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/978/945/GCF_000978945.1_gtlEnvA5udCFS		
GCF_000978955.1	PRJNA224116	SAMN02708974	JJOU00000000.1	na	2209	2209	Methanosarcina mazei	strain=2.F.T.2.6		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000978955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/978/955/GCF_000978955.1_gtlEnvA5udCFS		
GCF_000978965.1	PRJNA224116	SAMN02708961	JJPI00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.T.1A.1		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000978965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/978/965/GCF_000978965.1_gtlEnvA5udCFS		
GCF_000979015.1	PRJNA224116	SAMN02708987	JJPO00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.A.2.1		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/015/GCF_000979015.1_gtlEnvA5udCFS		
GCF_000979025.1	PRJNA224116	SAMN02708951	JJPR00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.A.2.6		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/025/GCF_000979025.1_gtlEnvA5udCFS		
GCF_000979035.1	PRJNA224116	SAMN02708985	JJPU00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.M.1B.1		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/035/GCF_000979035.1_gtlEnvA5udCFS		
GCF_000979045.1	PRJNA224116	SAMN02708954	JJPW00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.M.1B.5		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/045/GCF_000979045.1_gtlEnvA5udCFS		
GCF_000979095.1	PRJNA224116	SAMN02708964	JJPX00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.M.2.7		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/095/GCF_000979095.1_gtlEnvA5udCFS		
GCF_000979105.1	PRJNA224116	SAMN02708932	JJQA00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.F.A.1A.3		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/105/GCF_000979105.1_gtlEnvA5udCFS		
GCF_000979115.1	PRJNA224116	SAMN02708956	JJQD00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.F.A.2.8		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/115/GCF_000979115.1_gtlEnvA5udCFS		
GCF_000979125.1	PRJNA224116	SAMN02708967	JJQE00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.F.M.0.5		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/125/GCF_000979125.1_gtlEnvA5udCFS		
GCF_000979175.1	PRJNA224116	SAMN02708968	JJQH00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.1A.3		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/175/GCF_000979175.1_gtlEnvA5udCFS		
GCF_000979185.1	PRJNA224116	SAMN02708935	JJQI00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.1A.4		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/185/GCF_000979185.1_gtlEnvA5udCFS		
GCF_000979195.1	PRJNA224116	SAMN02708936	JJQM00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.2.3		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/195/GCF_000979195.1_gtlEnvA5udCFS		
GCF_000979205.1	PRJNA224116	SAMN02708937	JJQO00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.2.7		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/205/GCF_000979205.1_gtlEnvA5udCFS		
GCF_000979255.1	PRJNA224116	SAMN02708938	JJQS00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.M.1A.2		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/255/GCF_000979255.1_gtlEnvA5udCFS		
GCF_000979265.1	PRJNA224116	SAMN02708980	JJQU00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.M.2.1		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/265/GCF_000979265.1_gtlEnvA5udCFS		
GCF_000979275.1	PRJNA224116	SAMN02708939	JJQV00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.M.2.2		latest	Scaffold	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCA_000979275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/979/275/GCF_000979275.1_gtlEnvA5udCFS		
