asm_name,assembly_accession,domain,ftp_basename,ftp_path,organism_name,taxid,genetic_code
ASM9166v1,GCF_000091665.1,archaea,GCF_000091665.1_ASM9166v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/665/GCF_000091665.1_ASM9166v1,Methanocaldococcus jannaschii DSM 2661,243232,11
ASM2568v1,GCF_000025685.1,archaea,GCF_000025685.1_ASM2568v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/685/GCF_000025685.1_ASM2568v1,Haloferax volcanii DS2,309800,11
ASM81218v1,GCF_000812185.1,archaea,GCF_000812185.1_ASM81218v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/185/GCF_000812185.1_ASM81218v1,Candidatus Nitrosopelagicus brevis,1410606,11
ASM38556v1,GCF_000385565.1,archaea,GCF_000385565.1_ASM38556v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/565/GCF_000385565.1_ASM38556v1,Archaeoglobus sulfaticallidus PM70-1,387631,11
ASM14529v1,GCF_000145295.1,archaea,GCF_000145295.1_ASM14529v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/295/GCF_000145295.1_ASM14529v1,Methanothermobacter marburgensis str. Marburg,79929,11
ASM95617v1,GCF_000956175.1,archaea,GCF_000956175.1_ASM95617v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/175/GCF_000956175.1_ASM95617v1,Candidatus Nitrosopumilus adriaticus,1580092,11
ASM14838v1,GCF_000148385.1,archaea,GCF_000148385.1_ASM14838v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/385/GCF_000148385.1_ASM14838v1,Vulcanisaeta distributa DSM 14429,572478,11
ASM1960v1,GCF_000019605.1,archaea,GCF_000019605.1_ASM1960v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/605/GCF_000019605.1_ASM1960v1,Candidatus Korarchaeum cryptofilum OPF8,374847,11
ASM32866v1,GCF_000328665.1,archaea,GCF_000328665.1_ASM32866v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/665/GCF_000328665.1_ASM32866v1,Methanomethylovorans hollandica DSM 15978,867904,11
ASM30676v2,GCF_000306765.2,archaea,GCF_000306765.2_ASM30676v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/765/GCF_000306765.2_ASM30676v2,Haloferax mediterranei ATCC 33500,523841,11
ASM2462v1,GCF_000024625.1,archaea,GCF_000024625.1_ASM2462v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/625/GCF_000024625.1_ASM2462v1,Methanocaldococcus vulcanius M7,579137,11
ASM23786v1,GCF_000237865.1,archaea,GCF_000237865.1_ASM23786v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/865/GCF_000237865.1_ASM23786v1,Haloquadratum walsbyi C23,768065,11
ASM96988v1,GCF_000969885.1,archaea,GCF_000969885.1_ASM96988v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/885/GCF_000969885.1_ASM96988v1,Methanosarcina thermophila TM-1,523844,11
ASM866v1,GCF_000008665.1,archaea,GCF_000008665.1_ASM866v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/665/GCF_000008665.1_ASM866v1,Archaeoglobus fulgidus DSM 4304,224325,11
ASM16609v1,GCF_000166095.1,archaea,GCF_000166095.1_ASM16609v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/095/GCF_000166095.1_ASM16609v1,Methanothermus fervidus DSM 2088,523846,11
ASM32750v1,GCF_000327505.1,archaea,GCF_000327505.1_ASM32750v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/505/GCF_000327505.1_ASM32750v1,Aciduliprofundum sp. MAR08-339,673860,11
ASM24698v3,GCF_000246985.2,archaea,GCF_000246985.2_ASM24698v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/246/985/GCF_000246985.2_ASM24698v3,Thermococcus litoralis DSM 5473,523849,11
ASM1836v1,GCF_000018365.1,archaea,GCF_000018365.1_ASM1836v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/365/GCF_000018365.1_ASM1836v1,Thermococcus onnurineus NA1,523850,11
HATI1,GCF_000470655.1,archaea,GCF_000470655.1_HATI1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/470/655/GCF_000470655.1_HATI1,Halorhabdus tiamatea SARL4B,1033806,11
ASM97020v1,GCF_000970205.1,archaea,GCF_000970205.1_ASM97020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/205/GCF_000970205.1_ASM97020v1,Methanosarcina mazei S-6,213585,11
ASM21441v1,GCF_000214415.1,archaea,GCF_000214415.1_ASM21441v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/415/GCF_000214415.1_ASM21441v1,Methanotorris igneus Kol 5,880724,11
ASM29939v1,GCF_000299395.1,archaea,GCF_000299395.1_ASM29939v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/395/GCF_000299395.1_ASM29939v1,Candidatus Nitrosopumilus sediminis,1229909,11
ASM2220v1,GCF_000022205.1,archaea,GCF_000022205.1_ASM2220v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/205/GCF_000022205.1_ASM2220v1,Halorubrum lacusprofundi ATCC 49239,416348,11
ASM2550v1,GCF_000025505.1,archaea,GCF_000025505.1_ASM2550v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/505/GCF_000025505.1_ASM2550v1,Ferroglobus placidus DSM 10642,589924,11
ASM1520v1,GCF_000015205.1,archaea,GCF_000015205.1_ASM1520v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/205/GCF_000015205.1_ASM1520v1,Pyrobaculum islandicum DSM 4184,384616,11
ASM20441v1,GCF_000204415.1,archaea,GCF_000204415.1_ASM20441v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/415/GCF_000204415.1_ASM20441v1,Methanosaeta concilii GP6,990316,11
ASM2604v1,GCF_000026045.1,archaea,GCF_000026045.1_ASM2604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/045/GCF_000026045.1_ASM2604v1,Natronomonas pharaonis DSM 2160,348780,11
ASM76226v1,GCF_000762265.1,archaea,GCF_000762265.1_ASM76226v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/762/265/GCF_000762265.1_ASM76226v1,Methanobacterium formicicum,2162,11
ASM51762v1,GCF_000517625.1,archaea,GCF_000517625.1_ASM51762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/625/GCF_000517625.1_ASM51762v1,Halostagnicola larsenii XH-48,797299,11
ASM76965v1,GCF_000769655.1,archaea,GCF_000769655.1_ASM76965v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/655/GCF_000769655.1_ASM76965v1,Thermococcus eurythermalis,1505907,11
ASM23073v3,GCF_000230735.2,archaea,GCF_000230735.2_ASM23073v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/735/GCF_000230735.2_ASM23073v3,Natrinema pellirubrum DSM 15624,797303,11
ASM23071v3,GCF_000230715.2,archaea,GCF_000230715.2_ASM23071v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/715/GCF_000230715.2_ASM23071v3,Natronobacterium gregoryi SP2,797304,11
ASM26449v1,GCF_000264495.1,archaea,GCF_000264495.1_ASM26449v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/264/495/GCF_000264495.1_ASM26449v1,Thermogladius cellulolyticus 1633,1184251,11
ASM1830v1,GCF_000018305.1,archaea,GCF_000018305.1_ASM1830v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/305/GCF_000018305.1_ASM1830v1,Caldivirga maquilingensis IC-167,397948,11
ASM617v2,GCF_000006175.1,archaea,GCF_000006175.1_ASM617v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/175/GCF_000006175.1_ASM617v2,Methanococcus voltae A3,456320,11
ASM730v1,GCF_000007305.1,archaea,GCF_000007305.1_ASM730v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/305/GCF_000007305.1_ASM730v1,Pyrococcus furiosus DSM 3638,186497,11
ASM22390v1,GCF_000223905.1,archaea,GCF_000223905.1_ASM22390v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/905/GCF_000223905.1_ASM22390v1,Haloarcula hispanica ATCC 33960,634497,11
ASM2528v1,GCF_000025285.1,archaea,GCF_000025285.1_ASM2528v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/285/GCF_000025285.1_ASM2528v1,Archaeoglobus profundus DSM 5631,572546,11
ASM2418v1,GCF_000024185.1,archaea,GCF_000024185.1_ASM2418v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/185/GCF_000024185.1_ASM2418v1,Methanobrevibacter ruminantium M1,634498,11
ASM9230v1,GCF_000092305.1,archaea,GCF_000092305.1_ASM9230v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/305/GCF_000092305.1_ASM9230v1,Methanocaldococcus infernus ME,573063,11
ASM2398v1,GCF_000023985.1,archaea,GCF_000023985.1_ASM2398v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/985/GCF_000023985.1_ASM2398v1,Methanocaldococcus fervens AG86,573064,11
ASM826v1,GCF_000008265.1,archaea,GCF_000008265.1_ASM826v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/265/GCF_000008265.1_ASM826v1,Picrophilus torridus DSM 9790,263820,11
Mb_MS2,GCF_000304355.2,archaea,GCF_000304355.2_Mb_MS2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/304/355/GCF_000304355.2_Mb_MS2,Methanoculleus bourgensis MS2,1201294,11
ASM26373v1,GCF_000263735.1,archaea,GCF_000263735.1_ASM26373v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/735/GCF_000263735.1_ASM26373v1,Pyrococcus sp. ST04,1183377,11
ASM22447v1,GCF_000224475.1,archaea,GCF_000224475.1_ASM22447v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/475/GCF_000224475.1_ASM22447v1,halophilic archaeon DL31,756883,11
ASM19689v1,GCF_000196895.1,archaea,GCF_000196895.1_ASM19689v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/895/GCF_000196895.1_ASM19689v1,Halalkalicoccus jeotgali B3,795797,11
ASM22339v1,GCF_000223395.1,archaea,GCF_000223395.1_ASM22339v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/395/GCF_000223395.1_ASM22339v1,Pyrolobus fumarii 1A,694429,11
ASM32868v1,GCF_000328685.1,archaea,GCF_000328685.1_ASM32868v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/685/GCF_000328685.1_ASM32868v1,Natronococcus occultus SP4,694430,11
ASM23101v3,GCF_000231015.2,archaea,GCF_000231015.2_ASM23101v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/015/GCF_000231015.2_ASM23101v3,Desulfurococcus fermentans DSM 16532,768672,11
ASM700v1,GCF_000007005.1,archaea,GCF_000007005.1_ASM700v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/005/GCF_000007005.1_ASM700v1,Sulfolobus solfataricus P2,273057,11
ASM40422v1,GCF_000404225.1,archaea,GCF_000404225.1_ASM40422v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/404/225/GCF_000404225.1_ASM40422v1,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1295009,11
ASM25305v1,GCF_000253055.1,archaea,GCF_000253055.1_ASM25305v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/055/GCF_000253055.1_ASM25305v1,Thermoproteus tenax Kra 1,768679,11
ASM1120v1,GCF_000011205.1,archaea,GCF_000011205.1_ASM1120v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/205/GCF_000011205.1_ASM1120v1,Sulfolobus tokodaii str. 7,273063,11
ASM9246v1,GCF_000092465.1,archaea,GCF_000092465.1_ASM9246v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/465/GCF_000092465.1_ASM9246v1,Staphylothermus hellenicus DSM 12710,591019,11
ASM19591v1,GCF_000195915.1,archaea,GCF_000195915.1_ASM19591v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/915/GCF_000195915.1_ASM19591v1,Thermoplasma acidophilum DSM 1728,273075,11
ASM2566v1,GCF_000025665.1,archaea,GCF_000025665.1_ASM2566v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/665/GCF_000025665.1_ASM2566v1,Aciduliprofundum boonei T469,439481,11
ASM1344v1,GCF_000013445.1,archaea,GCF_000013445.1_ASM1344v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/445/GCF_000013445.1_ASM1344v1,Methanospirillum hungatei JF-1,323259,11
ASM26552v1,GCF_000265525.1,archaea,GCF_000265525.1_ASM26552v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/525/GCF_000265525.1_ASM26552v1,Thermococcus cleftensis,163003,11
ASM1660v1,GCF_000016605.1,archaea,GCF_000016605.1_ASM1660v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/605/GCF_000016605.1_ASM1660v1,Metallosphaera sedula DSM 5348,399549,11
ASM1594v1,GCF_000015945.1,archaea,GCF_000015945.1_ASM1594v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/945/GCF_000015945.1_ASM1594v1,Staphylothermus marinus F1,399550,11
ASM2254v1,GCF_000022545.1,archaea,GCF_000022545.1_ASM2254v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/545/GCF_000022545.1_ASM2254v1,Thermococcus sibiricus MM 739,604354,11
ASM1514v1,GCF_000015145.1,archaea,GCF_000015145.1_ASM1514v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/145/GCF_000015145.1_ASM1514v1,Hyperthermus butylicus DSM 5456,415426,11
ASM141261v1,GCF_001412615.1,archaea,GCF_001412615.1_ASM141261v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/412/615/GCF_001412615.1_ASM141261v1,Pyrodictium delaneyi,1273541,11
ASM19665v1,GCF_000196655.1,archaea,GCF_000196655.1_ASM19665v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/655/GCF_000196655.1_ASM19665v1,Methanohalobium evestigatum Z-7303,644295,11
ASM19337v1,GCF_000193375.1,archaea,GCF_000193375.1_ASM19337v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/375/GCF_000193375.1_ASM19337v1,Thermoproteus uzoniensis 768-20,999630,11
ASM30025v2,GCF_000300255.2,archaea,GCF_000300255.2_ASM30025v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/255/GCF_000300255.2_ASM30025v2,Candidatus Methanomethylophilus alvus Mx1201,1236689,11
ASM1118v1,GCF_000011185.1,archaea,GCF_000011185.1_ASM1118v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/185/GCF_000011185.1_ASM1118v1,Thermoplasma volcanium GSS1,273116,11
ASM2236v1,GCF_000022365.1,archaea,GCF_000022365.1_ASM2236v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/365/GCF_000022365.1_ASM2236v1,Thermococcus gammatolerans EJ3,593117,11
ASM2586v1,GCF_000025865.1,archaea,GCF_000025865.1_ASM2586v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/865/GCF_000025865.1_ASM2586v1,Methanohalophilus mahii DSM 5219,547558,11
ASM2562v1,GCF_000025625.1,archaea,GCF_000025625.1_ASM2562v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/625/GCF_000025625.1_ASM2562v1,Natrialba magadii ATCC 43099,547559,11
ASM81324v1,GCF_000813245.1,archaea,GCF_000813245.1_ASM81324v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/813/245/GCF_000813245.1_ASM81324v1,Thermofilum carboxyditrophus 1505,697581,11
ASM31779v1,GCF_000317795.1,archaea,GCF_000317795.1_ASM31779v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/795/GCF_000317795.1_ASM31779v1,Caldisphaera lagunensis DSM 15908,1056495,11
ASM1576v1,GCF_000015765.1,archaea,GCF_000015765.1_ASM1576v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/765/GCF_000015765.1_ASM1576v1,Methanocorpusculum labreanum Z,410358,11
ASM18636v1,GCF_000186365.1,archaea,GCF_000186365.1_ASM18636v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/365/GCF_000186365.1_ASM18636v1,Desulfurococcus mucosus DSM 2162,765177,11
ASM1762v1,GCF_000017625.1,archaea,GCF_000017625.1_ASM1762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/625/GCF_000017625.1_ASM1762v1,Methanoregula boonei 6A8,456442,11
ASM72542v1,GCF_000725425.1,archaea,GCF_000725425.1_ASM72542v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/425/GCF_000725425.1_ASM72542v1,Palaeococcus pacificus DY20341,1343739,11
ASM97002v1,GCF_000970025.1,archaea,GCF_000970025.1_ASM97002v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/025/GCF_000970025.1_ASM97002v1,Methanosarcina barkeri MS,1434108,11
ASM2394v1,GCF_000023945.1,archaea,GCF_000023945.1_ASM2394v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/945/GCF_000023945.1_ASM2394v1,Halorhabdus utahensis DSM 12940,519442,11
ASM51744v1,GCF_000517445.1,archaea,GCF_000517445.1_ASM51744v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/445/GCF_000517445.1_ASM51744v1,Thermococcus paralvinellae,582419,11
ASM40364v1,GCF_000403645.1,archaea,GCF_000403645.1_ASM40364v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/645/GCF_000403645.1_ASM40364v1,Salinarchaeum sp. Harcht-Bsk1,1333523,11
ASM1582v1,GCF_000015825.1,archaea,GCF_000015825.1_ASM1582v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/825/GCF_000015825.1_ASM1582v1,Methanoculleus marisnigri JR1,368407,11
ASM1522v1,GCF_000015225.1,archaea,GCF_000015225.1_ASM1522v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/225/GCF_000015225.1_ASM1522v1,Thermofilum pendens Hrk 5,368408,11
ASM21472v1,GCF_000214725.1,archaea,GCF_000214725.1_ASM21472v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/725/GCF_000214725.1_ASM21472v1,Methanobacterium paludis,868131,11
ASM2532v1,GCF_000025325.1,archaea,GCF_000025325.1_ASM2532v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/325/GCF_000025325.1_ASM2532v1,Haloterrigena turkmenica DSM 5511,543526,11
ASM78925v1,GCF_000789255.1,archaea,GCF_000789255.1_ASM78925v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/255/GCF_000789255.1_ASM78925v1,Geoglobus acetivorans,565033,11
ASM21599v1,GCF_000215995.1,archaea,GCF_000215995.1_ASM21599v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/995/GCF_000215995.1_ASM21599v1,Pyrococcus yayanosii CH1,529709,11
ASM2196v1,GCF_000021965.1,archaea,GCF_000021965.1_ASM2196v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/965/GCF_000021965.1_ASM2196v1,Methanosphaerula palustris E1-9c,521011,11
ASM1716v1,GCF_000017165.1,archaea,GCF_000017165.1_ASM1716v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/165/GCF_000017165.1_ASM1716v1,Methanococcus vannielii SB,406327,11
ASM6902v1,GCF_000069025.1,archaea,GCF_000069025.1_ASM6902v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/025/GCF_000069025.1_ASM6902v1,Halobacterium salinarum R1,478009,11
ASM9218v1,GCF_000092185.1,archaea,GCF_000092185.1_ASM9218v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/185/GCF_000092185.1_ASM9218v1,Thermosphaera aggregans DSM 11486,633148,11
ASM80080v1,GCF_000800805.1,archaea,GCF_000800805.1_ASM80080v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/800/805/GCF_000800805.1_ASM80080v1,Candidatus Methanoplasma termitum,1577791,11
ASM30672v1,GCF_000306725.1,archaea,GCF_000306725.1_ASM30672v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/725/GCF_000306725.1_ASM30672v1,Methanolobus psychrophilus R15,1094980,11
ASM23095v3,GCF_000230955.2,archaea,GCF_000230955.2_ASM23095v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/955/GCF_000230955.2_ASM23095v3,Halobacterium sp. DL1,751944,11
ASM1718v1,GCF_000017185.1,archaea,GCF_000017185.1_ASM1718v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/185/GCF_000017185.1_ASM1718v1,Methanococcus aeolicus Nankai-3,419665,11
ASM32748v1,GCF_000327485.1,archaea,GCF_000327485.1_ASM32748v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/485/GCF_000327485.1_ASM32748v1,Methanoregula formicica SMSP,593750,11
ASM15226v2,GCF_000152265.2,archaea,GCF_000152265.2_ASM15226v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/265/GCF_000152265.2_ASM15226v2,Ferroplasma acidarmanus fer1,333146,11
ASM69878v1,GCF_000698785.1,archaea,GCF_000698785.1_ASM69878v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/785/GCF_000698785.1_ASM69878v1,Nitrososphaera viennensis EN76,926571,11
Methanobacterium,GCF_000499765.1,archaea,GCF_000499765.1_Methanobacterium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/765/GCF_000499765.1_Methanobacterium,Methanobacterium sp. MB1,1379702,11
ASM1722v1,GCF_000017225.1,archaea,GCF_000017225.1_ASM1722v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/225/GCF_000017225.1_ASM1722v1,Methanococcus maripaludis C7,426368,11
ASM17299v2,GCF_000172995.2,archaea,GCF_000172995.2_ASM17299v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/995/GCF_000172995.2_ASM17299v2,Halogeometricum borinquense DSM 11551,469382,11
ASM14491v1,GCF_000144915.1,archaea,GCF_000144915.1_ASM14491v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/915/GCF_000144915.1_ASM14491v1,Acidilobus saccharovorans 345-15,666510,11
ASM19158v1,GCF_000191585.1,archaea,GCF_000191585.1_ASM19158v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/585/GCF_000191585.1_ASM19158v1,Methanobacterium lacus,877455,11
ASM2090v1,GCF_000020905.1,archaea,GCF_000020905.1_ASM2090v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/905/GCF_000020905.1_ASM2090v1,Desulfurococcus kamchatkensis 1221n,490899,11
ASM1254v1,GCF_000012545.1,archaea,GCF_000012545.1_ASM1254v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/545/GCF_000012545.1_ASM1254v1,Methanosphaera stadtmanae DSM 3091,339860,11
ASM996v1,GCF_000009965.1,archaea,GCF_000009965.1_ASM996v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/965/GCF_000009965.1_ASM996v1,Thermococcus kodakarensis KOD1,69014,11
