# assembly_accession,asm_name,domain,ftp_basename,ftp_path,organism_name,taxid,genetic_code
GCF_002214465.1,ASM221446v1,archaea,GCF_002214465.1_ASM221446v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/465/GCF_002214465.1_ASM221446v1,Thermococcus barossii,54077,11
GCF_000385565.1,ASM38556v1,archaea,GCF_000385565.1_ASM38556v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/565/GCF_000385565.1_ASM38556v1,Archaeoglobus sulfaticallidus PM70-1,387631,11
GCF_000011185.1,ASM1118v1,archaea,GCF_000011185.1_ASM1118v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/185/GCF_000011185.1_ASM1118v1,Thermoplasma volcanium GSS1,273116,11
GCF_000237865.1,ASM23786v1,archaea,GCF_000237865.1_ASM23786v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/865/GCF_000237865.1_ASM23786v1,Haloquadratum walsbyi C23,768065,11
GCF_000304355.2,Mb_MS2,archaea,GCF_000304355.2_Mb_MS2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/304/355/GCF_000304355.2_Mb_MS2,Methanoculleus bourgensis MS2,1201294,11
GCF_000226975.2,ASM22697v3,archaea,GCF_000226975.2_ASM22697v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/975/GCF_000226975.2_ASM22697v3,Halobiforma lacisalsi AJ5,358396,11
GCF_002214365.1,ASM221436v1,archaea,GCF_002214365.1_ASM221436v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/365/GCF_002214365.1_ASM221436v1,Thermococcus celer,2264,11
GCF_000970305.1,ASM97030v1,archaea,GCF_000970305.1_ASM97030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/305/GCF_000970305.1_ASM97030v1,Methanosarcina barkeri 3,1434107,11
GCF_000214725.1,ASM21472v1,archaea,GCF_000214725.1_ASM21472v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/725/GCF_000214725.1_ASM21472v1,Methanobacterium paludis,868131,11
GCF_000025325.1,ASM2532v1,archaea,GCF_000025325.1_ASM2532v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/325/GCF_000025325.1_ASM2532v1,Haloterrigena turkmenica DSM 5511,543526,11
GCF_000022545.1,ASM2254v1,archaea,GCF_000022545.1_ASM2254v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/545/GCF_000022545.1_ASM2254v1,Thermococcus sibiricus MM 739,604354,11
GCF_000152265.2,ASM15226v2,archaea,GCF_000152265.2_ASM15226v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/265/GCF_000152265.2_ASM15226v2,Ferroplasma acidarmanus fer1,333146,11
GCF_000195915.1,ASM19591v1,archaea,GCF_000195915.1_ASM19591v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/915/GCF_000195915.1_ASM19591v1,Thermoplasma acidophilum DSM 1728,273075,11
GCF_000017625.1,ASM1762v1,archaea,GCF_000017625.1_ASM1762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/625/GCF_000017625.1_ASM1762v1,Methanoregula boonei 6A8,456442,11
GCF_000025505.1,ASM2550v1,archaea,GCF_000025505.1_ASM2550v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/505/GCF_000025505.1_ASM2550v1,Ferroglobus placidus DSM 10642,589924,11
GCF_000762265.1,ASM76226v1,archaea,GCF_000762265.1_ASM76226v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/762/265/GCF_000762265.1_ASM76226v1,Methanobacterium formicicum,2162,11
GCF_002156705.1,ASM215670v1,archaea,GCF_002156705.1_ASM215670v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/156/705/GCF_002156705.1_ASM215670v1,Natrialbaceae archaeon JW/NM-HA 15,1902251,11
GCF_000015825.1,ASM1582v1,archaea,GCF_000015825.1_ASM1582v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/825/GCF_000015825.1_ASM1582v1,Methanoculleus marisnigri JR1,368407,11
GCF_000217715.1,ASM21771v1,archaea,GCF_000217715.1_ASM21771v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/715/GCF_000217715.1_ASM21771v1,Halopiger xanaduensis SH-6,797210,11
GCF_000230715.2,ASM23071v3,archaea,GCF_000230715.2_ASM23071v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/715/GCF_000230715.2_ASM23071v3,Natronobacterium gregoryi SP2,797304,11
GCF_000013725.1,ASM1372v1,archaea,GCF_000013725.1_ASM1372v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/725/GCF_000013725.1_ASM1372v1,Methanococcoides burtonii DSM 6242,259564,11
GCF_000213215.1,ASM21321v1,archaea,GCF_000213215.1_ASM21321v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/215/GCF_000213215.1_ASM21321v1,Acidianus hospitalis W1,933801,11
GCF_000166095.1,ASM16609v1,archaea,GCF_000166095.1_ASM16609v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/095/GCF_000166095.1_ASM16609v1,Methanothermus fervidus DSM 2088,523846,11
GCF_000017945.1,ASM1794v1,archaea,GCF_000017945.1_ASM1794v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/945/GCF_000017945.1_ASM1794v1,Ignicoccus hospitalis KIN4/I,453591,11
GCF_000195935.2,ASM19593v1,archaea,GCF_000195935.2_ASM19593v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/935/GCF_000195935.2_ASM19593v1,Pyrococcus abyssi GE5,272844,11
GCF_000017185.1,ASM1718v1,archaea,GCF_000017185.1_ASM1718v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/185/GCF_000017185.1_ASM1718v1,Methanococcus aeolicus Nankai-3,419665,11
GCF_000306725.1,ASM30672v1,archaea,GCF_000306725.1_ASM30672v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/725/GCF_000306725.1_ASM30672v1,Methanolobus psychrophilus R15,1094980,11
GCF_000317795.1,ASM31779v1,archaea,GCF_000317795.1_ASM31779v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/795/GCF_000317795.1_ASM31779v1,Caldisphaera lagunensis DSM 15908,1056495,11
GCF_000025285.1,ASM2528v1,archaea,GCF_000025285.1_ASM2528v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/285/GCF_000025285.1_ASM2528v1,Archaeoglobus profundus DSM 5631,572546,11
GCF_000235565.1,ASM23556v1,archaea,GCF_000235565.1_ASM23556v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/565/GCF_000235565.1_ASM23556v1,Methanosaeta harundinacea 6Ac,1110509,11
GCF_000006175.1,ASM617v2,archaea,GCF_000006175.1_ASM617v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/175/GCF_000006175.1_ASM617v2,Methanococcus voltae A3,456320,11
GCF_000214415.1,ASM21441v1,archaea,GCF_000214415.1_ASM21441v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/415/GCF_000214415.1_ASM21441v1,Methanotorris igneus Kol 5,880724,11
GCF_001886955.1,ASM188695v1,archaea,GCF_001886955.1_ASM188695v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/955/GCF_001886955.1_ASM188695v1,Halodesulfurarchaeum formicicum,1873524,11
GCF_000016525.1,ASM1652v1,archaea,GCF_000016525.1_ASM1652v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/525/GCF_000016525.1_ASM1652v1,Methanobrevibacter smithii ATCC 35061,420247,11
GCF_000021965.1,ASM2196v1,archaea,GCF_000021965.1_ASM2196v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/965/GCF_000021965.1_ASM2196v1,Methanosphaerula palustris E1-9c,521011,11
GCF_000969885.1,ASM96988v1,archaea,GCF_000969885.1_ASM96988v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/885/GCF_000969885.1_ASM96988v1,Methanosarcina thermophila TM-1,523844,11
GCF_000204415.1,ASM20441v1,archaea,GCF_000204415.1_ASM20441v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/415/GCF_000204415.1_ASM20441v1,Methanosaeta concilii GP6,990316,11
GCF_000223905.1,ASM22390v1,archaea,GCF_000223905.1_ASM22390v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/905/GCF_000223905.1_ASM22390v1,Haloarcula hispanica ATCC 33960,634497,11
GCF_000264495.1,ASM26449v1,archaea,GCF_000264495.1_ASM26449v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/264/495/GCF_000264495.1_ASM26449v1,Thermogladius calderae 1633,1184251,11
GCF_000006805.1,ASM680v1,archaea,GCF_000006805.1_ASM680v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/805/GCF_000006805.1_ASM680v1,Halobacterium salinarum NRC-1,64091,11
GCF_001577775.1,ASM157777v1,archaea,GCF_001577775.1_ASM157777v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/775/GCF_001577775.1_ASM157777v1,Pyrococcus kukulkanii,1609559,11
GCF_000013445.1,ASM1344v1,archaea,GCF_000013445.1_ASM1344v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/445/GCF_000013445.1_ASM1344v1,Methanospirillum hungatei JF-1,323259,11
GCF_002214505.1,ASM221450v1,archaea,GCF_002214505.1_ASM221450v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/505/GCF_002214505.1_ASM221450v1,Thermococcus siculi,72803,11
GCF_000350305.1,ASM35030v1,archaea,GCF_000350305.1_ASM35030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/305/GCF_000350305.1_ASM35030v1,Thermoplasmatales archaeon BRNA1,1054217,11
GCF_000063445.1,ASM6344v1,archaea,GCF_000063445.1_ASM6344v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/063/445/GCF_000063445.1_ASM6344v1,Methanocella arvoryzae MRE50,351160,11
GCF_001011115.1,ASM101111v1,archaea,GCF_001011115.1_ASM101111v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/011/115/GCF_001011115.1_ASM101111v1,Halanaeroarchaeum sulfurireducens,1604004,11
GCF_000970085.1,ASM97008v1,archaea,GCF_000970085.1_ASM97008v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/085/GCF_000970085.1_ASM97008v1,Methanosarcina siciliae T4/M,1434120,11
GCF_000023965.1,ASM2396v1,archaea,GCF_000023965.1_ASM2396v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/965/GCF_000023965.1_ASM2396v1,Halomicrobium mukohataei DSM 12286,485914,11
GCF_000145295.1,ASM14529v1,archaea,GCF_000145295.1_ASM14529v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/295/GCF_000145295.1_ASM14529v1,Methanothermobacter marburgensis str. Marburg,79929,11
GCF_000017165.1,ASM1716v1,archaea,GCF_000017165.1_ASM1716v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/165/GCF_000017165.1_ASM1716v1,Methanococcus vannielii SB,406327,11
GCF_000725425.1,ASM72542v1,archaea,GCF_000725425.1_ASM72542v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/425/GCF_000725425.1_ASM72542v1,Palaeococcus pacificus DY20341,1343739,11
GCF_000970025.1,ASM97002v1,archaea,GCF_000970025.1_ASM97002v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/025/GCF_000970025.1_ASM97002v1,Methanosarcina barkeri MS,1434108,11
GCF_000024625.1,ASM2462v1,archaea,GCF_000024625.1_ASM2462v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/625/GCF_000024625.1_ASM2462v1,Methanocaldococcus vulcanius M7,579137,11
GCF_000970205.1,ASM97020v1,archaea,GCF_000970205.1_ASM97020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/205/GCF_000970205.1_ASM97020v1,Methanosarcina mazei S-6,213585,11
GCF_000698785.1,ASM69878v1,archaea,GCF_000698785.1_ASM69878v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/785/GCF_000698785.1_ASM69878v1,Nitrososphaera viennensis EN76,926571,11
GCF_001488575.1,Halobacterium hubeiense JI20-1,archaea,GCF_001488575.1_Halobacterium_hubeiense_JI20-1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/488/575/GCF_001488575.1_Halobacterium_hubeiense_JI20-1,Halobacterium hubeiense,1407499,11
GCF_000816105.1,ASM81610v1,archaea,GCF_000816105.1_ASM81610v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/105/GCF_000816105.1_ASM81610v1,Thermococcus guaymasensis DSM 11113,1432656,11
GCF_001006045.1,ASM100604v1,archaea,GCF_001006045.1_ASM100604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/006/045/GCF_001006045.1_ASM100604v1,Geoglobus ahangari,113653,11
GCF_000023945.1,ASM2394v1,archaea,GCF_000023945.1_ASM2394v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/945/GCF_000023945.1_ASM2394v1,Halorhabdus utahensis DSM 12940,519442,11
GCF_000196895.1,ASM19689v1,archaea,GCF_000196895.1_ASM19689v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/895/GCF_000196895.1_ASM19689v1,Halalkalicoccus jeotgali B3,795797,11
GCF_000190315.1,ASM19031v1,archaea,GCF_000190315.1_ASM19031v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/315/GCF_000190315.1_ASM19031v1,Vulcanisaeta moutnovskia 768-28,985053,11
GCF_002214545.1,ASM221454v1,archaea,GCF_002214545.1_ASM221454v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/545/GCF_002214545.1_ASM221454v1,Thermococcus thioreducens,277988,11
GCF_001412615.1,ASM141261v1,archaea,GCF_001412615.1_ASM141261v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/412/615/GCF_001412615.1_ASM141261v1,Pyrodictium delaneyi,1273541,11
GCF_900095815.1,SIV6,archaea,GCF_900095815.1_SIV6,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/095/815/GCF_900095815.1_SIV6,Methanothermobacter wolfeii,145261,11
GCF_000011105.1,ASM1110v1,archaea,GCF_000011105.1_ASM1110v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/105/GCF_000011105.1_ASM1110v1,Pyrococcus horikoshii OT3,70601,11
GCF_000017225.1,ASM1722v1,archaea,GCF_000017225.1_ASM1722v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/225/GCF_000017225.1_ASM1722v1,Methanococcus maripaludis C7,426368,11
GCF_000194625.1,ASM19462v1,archaea,GCF_000194625.1_ASM19462v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/625/GCF_000194625.1_ASM19462v1,Archaeoglobus veneficus SNP6,693661,11
GCF_900079115.1,SSOP1,archaea,GCF_900079115.1_SSOP1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/079/115/GCF_900079115.1_SSOP1,Sulfolobus solfataricus,2287,11
GCF_001889405.1,ASM188940v1,archaea,GCF_001889405.1_ASM188940v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/405/GCF_001889405.1_ASM188940v1,Methanohalophilus halophilus,2177,11
GCF_900090055.1,C.divulgatum PM4,archaea,GCF_900090055.1_C.divulgatum_PM4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/090/055/GCF_900090055.1_C.divulgatum_PM4,Cuniculiplasma divulgatum,1673428,11
GCF_000328665.1,ASM32866v1,archaea,GCF_000328665.1_ASM32866v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/665/GCF_000328665.1_ASM32866v1,Methanomethylovorans hollandica DSM 15978,867904,11
GCF_000969905.1,ASM96990v1,archaea,GCF_000969905.1_ASM96990v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/905/GCF_000969905.1_ASM96990v1,Methanosarcina vacuolata Z-761,1434123,11
GCF_001647085.1,ASM164708v1,archaea,GCF_001647085.1_ASM164708v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/647/085/GCF_001647085.1_ASM164708v1,Thermococcus piezophilus,1712654,11
GCF_000265525.1,ASM26552v1,archaea,GCF_000265525.1_ASM26552v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/525/GCF_000265525.1_ASM26552v1,Thermococcus cleftensis,163003,11
GCF_000024185.1,ASM2418v1,archaea,GCF_000024185.1_ASM2418v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/185/GCF_000024185.1_ASM2418v1,Methanobrevibacter ruminantium M1,634498,11
GCF_000230735.2,ASM23073v3,archaea,GCF_000230735.2_ASM23073v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/735/GCF_000230735.2_ASM23073v3,Natrinema pellirubrum DSM 15624,797303,11
GCF_000191585.1,ASM19158v1,archaea,GCF_000191585.1_ASM19158v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/585/GCF_000191585.1_ASM19158v1,Methanobacterium lacus,877455,11
GCF_000251105.1,ASM25110v1,archaea,GCF_000251105.1_ASM25110v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/251/105/GCF_000251105.1_ASM25110v1,Methanocella conradii HZ254,1041930,11
GCF_000008665.1,ASM866v1,archaea,GCF_000008665.1_ASM866v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/665/GCF_000008665.1_ASM866v1,Archaeoglobus fulgidus DSM 4304,224325,11
GCF_000092305.1,ASM9230v1,archaea,GCF_000092305.1_ASM9230v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/305/GCF_000092305.1_ASM9230v1,Methanocaldococcus infernus ME,573063,11
GCF_000517445.1,ASM51744v1,archaea,GCF_000517445.1_ASM51744v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/445/GCF_000517445.1_ASM51744v1,Thermococcus paralvinellae,582419,11
GCF_000217995.1,ASM21799v1,archaea,GCF_000217995.1_ASM21799v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/995/GCF_000217995.1_ASM21799v1,Methanosalsum zhilinae DSM 4017,679901,11
GCF_000970265.1,ASM97026v1,archaea,GCF_000970265.1_ASM97026v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/265/GCF_000970265.1_ASM97026v1,Methanosarcina lacustris Z-7289,1434111,11
GCF_000025625.1,ASM2562v1,archaea,GCF_000025625.1_ASM2562v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/625/GCF_000025625.1_ASM2562v1,Natrialba magadii ATCC 43099,547559,11
GCF_000151105.2,ASM15110v2,archaea,GCF_000151105.2_ASM15110v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/105/GCF_000151105.2_ASM15110v2,Thermococcus barophilus MP,391623,11
GCF_000008265.1,ASM826v1,archaea,GCF_000008265.1_ASM826v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/265/GCF_000008265.1_ASM826v1,Picrophilus torridus DSM 9790,263820,11
GCF_000009965.1,ASM996v1,archaea,GCF_000009965.1_ASM996v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/965/GCF_000009965.1_ASM996v1,Thermococcus kodakarensis KOD1,69014,11
GCF_000970325.1,ASM97032v1,archaea,GCF_000970325.1_ASM97032v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/325/GCF_000970325.1_ASM97032v1,Methanococcoides methylutens MM1,1434104,11
GCF_000246985.2,ASM24698v3,archaea,GCF_000246985.2_ASM24698v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/246/985/GCF_000246985.2_ASM24698v3,Thermococcus litoralis DSM 5473,523849,11
GCF_001477655.1,ASM147765v1,archaea,GCF_001477655.1_ASM147765v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/655/GCF_001477655.1_ASM147765v1,Methanobrevibacter millerae,230361,11
GCF_000769655.1,ASM76965v1,archaea,GCF_000769655.1_ASM76965v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/655/GCF_000769655.1_ASM76965v1,Thermococcus eurythermalis,1505907,11
GCF_000020905.1,ASM2090v1,archaea,GCF_000020905.1_ASM2090v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/905/GCF_000020905.1_ASM2090v1,Desulfurococcus amylolyticus 1221n,490899,11
GCF_000023985.1,ASM2398v1,archaea,GCF_000023985.1_ASM2398v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/985/GCF_000023985.1_ASM2398v1,Methanocaldococcus fervens AG86,573064,11
GCF_001560915.1,ASM156091v1,archaea,GCF_001560915.1_ASM156091v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/915/GCF_001560915.1_ASM156091v1,methanogenic archaeon ISO4-H5,1495144,11
GCF_000022205.1,ASM2220v1,archaea,GCF_000022205.1_ASM2220v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/205/GCF_000022205.1_ASM2220v1,Halorubrum lacusprofundi ATCC 49239,416348,11
GCF_000026045.1,ASM2604v1,archaea,GCF_000026045.1_ASM2604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/045/GCF_000026045.1_ASM2604v1,Natronomonas pharaonis DSM 2160,348780,11
GCF_001481685.1,ASM148168v1,archaea,GCF_001481685.1_ASM148168v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/481/685/GCF_001481685.1_ASM148168v1,Ignicoccus islandicus DSM 13165,940295,11
GCF_002214485.1,ASM221448v1,archaea,GCF_002214485.1_ASM221448v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/485/GCF_002214485.1_ASM221448v1,Thermococcus pacificus,71998,11
GCF_000015765.1,ASM1576v1,archaea,GCF_000015765.1_ASM1576v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/765/GCF_000015765.1_ASM1576v1,Methanocorpusculum labreanum Z,410358,11
GCF_000008645.1,ASM864v1,archaea,GCF_000008645.1_ASM864v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/645/GCF_000008645.1_ASM864v1,Methanothermobacter thermautotrophicus str. Delta H,187420,11
GCF_000470655.1,HATI1,archaea,GCF_000470655.1_HATI1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/470/655/GCF_000470655.1_HATI1,Halorhabdus tiamatea SARL4B,1033806,11
GCF_000018305.1,ASM1830v1,archaea,GCF_000018305.1_ASM1830v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/305/GCF_000018305.1_ASM1830v1,Caldivirga maquilingensis IC-167,397948,11
GCF_001563245.1,ASM156324v1,archaea,GCF_001563245.1_ASM156324v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/563/245/GCF_001563245.1_ASM156324v1,Methanobrevibacter olleyae,294671,11
GCF_000306765.2,ASM30676v2,archaea,GCF_000306765.2_ASM30676v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/765/GCF_000306765.2_ASM30676v2,Haloferax mediterranei ATCC 33500,523841,11
GCF_000025865.1,ASM2586v1,archaea,GCF_000025865.1_ASM2586v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/865/GCF_000025865.1_ASM2586v1,Methanohalophilus mahii DSM 5219,547558,11
GCF_000223395.1,ASM22339v1,archaea,GCF_000223395.1_ASM22339v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/395/GCF_000223395.1_ASM22339v1,Pyrolobus fumarii 1A,694429,11
GCF_000172995.2,ASM17299v2,archaea,GCF_000172995.2_ASM17299v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/995/GCF_000172995.2_ASM17299v2,Halogeometricum borinquense DSM 11551,469382,11
